"kids","kids","children","offspring","sons","daughters"
"pets","pets","pet","dog","cat","animals","animal"
"house","a house"
"home","home","place"
"family","family","aunts","uncles","cousins","nieces","nephews",""
"siblings","siblings","brothers","sisters"
"dreams","dream","dreams","aspirations","passion"
"job","job"
"car","car"
"fridge","fridge"
"disease","sickness","disease","illness"
"computer","computer","laptop","PC","macbook","linux"
